Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Walpole,MA,02071,1,2026-03-01,965000.0,965000.0,965000.0,965000.0,1099900.0,402.922755741,1,2,redfin,12.45,database,12014.25,1001.19,588750.0,965000.0,826062.5,12,increasing
Somerville,MA,02145,1,2026-03-01,960000.0,960000.0,960000.0,960000.0,1037000.0,595.238095238,45,33,redfin,10.98,database,10540.8,878.4,775000.0,1362500.0,956250.0,12,stable
Devens,MA,01434,1,2026-03-01,950000.0,950000.0,950000.0,950000.0,,390.464447185,1,0,redfin,12.55,database,11922.5,993.54,420000.0,950000.0,681041.6666666666,12,increasing
Wakefield,MA,01880,1,2026-03-01,950000.0,950000.0,950000.0,950000.0,949500.0,371.965544244,5,0,redfin,11.74,database,11153.0,929.42,437500.0,950000.0,743287.5,12,increasing
Topsfield,MA,01983,1,2026-03-01,950000.0,950000.0,950000.0,950000.0,849900.0,378.657487091,15,4,redfin,15.66,database,14877.0,1239.75,690000.0,1085500.0,912583.3333333334,12,decreasing
Stoneham,MA,02180,1,2026-03-01,937500.0,937500.0,937500.0,937500.0,1593500.0,360.765718058,4,1,redfin,10.06,database,9431.25,785.94,401000.0,1060500.0,692604.1666666666,12,decreasing
Westford,MA,01886,1,2026-03-01,930000.0,930000.0,930000.0,930000.0,895000.0,369.640404362,42,21,redfin,13.11,database,12192.3,1016.02,299000.0,930000.0,729000.0,12,increasing
Wenham,MA,01984,1,2026-03-01,928250.0,928250.0,928250.0,928250.0,959000.0,390.518552146,10,5,redfin,15.99,database,14842.72,1236.89,318530.0,1200000.0,997940.0,12,decreasing
Hyde Park,MA,02136,1,2026-03-01,927000.0,927000.0,927000.0,927000.0,880000.0,315.755208333,9,1,redfin,12.4,database,11494.8,957.9,295000.0,945000.0,671000.0,12,increasing
Natick,MA,01760,1,2026-03-01,925000.0,925000.0,925000.0,925000.0,841500.0,445.714285714,89,40,redfin,12.17,database,11257.25,938.1,332000.0,1070000.0,816937.5,12,stable
Waltham,MA,02452,1,2026-03-01,920000.0,920000.0,920000.0,920000.0,899000.0,443.629572791,16,2,redfin,10.32,database,9494.4,791.2,434000.0,1145000.0,758500.0,12,increasing
Sudbury,MA,01776,1,2026-03-01,912000.0,912000.0,912000.0,912000.0,572000.0,511.057678949,2,1,redfin,14.27,database,13014.24,1084.52,640000.0,1282500.0,1027351.9583333334,12,decreasing
Andover,MA,01845,1,2026-03-01,909000.0,909000.0,909000.0,909000.0,884950.0,358.385637201,50,14,redfin,12.31,database,11189.79,932.48,400000.0,949900.0,654116.6666666666,12,increasing
Melrose,MA,02176,1,2026-03-01,907500.0,907500.0,907500.0,907500.0,812450.0,480.332377041,40,12,redfin,11.47,database,10409.02,867.42,479900.0,1140000.0,817837.5,12,increasing
Waltham,MA,02453,1,2026-03-01,900000.0,900000.0,900000.0,900000.0,1089950.0,323.647854397,6,1,redfin,10.32,database,9288.0,774.0,422000.0,1050000.0,762783.3333333334,12,decreasing
Hollis,NH,03049,1,2026-03-01,900000.0,900000.0,900000.0,900000.0,699000.0,265.635855263,23,7,redfin,18.9,database,17010.0,1417.5,500000.0,1000000.0,804836.0833333334,12,stable
Westborough,MA,01581,1,2026-03-01,900000.0,900000.0,900000.0,900000.0,837500.0,308.219178082,1,0,redfin,15.93,database,14337.0,1194.75,444444.0,900000.0,673800.5416666666,12,increasing
Quincy,MA,02169,1,2026-03-01,893800.0,893800.0,893800.0,893800.0,937000.0,375.362318841,17,10,redfin,11.78,database,10528.96,877.41,388500.0,900000.0,674879.1666666666,12,increasing
Somerville,MA,02144,1,2026-03-01,879950.0,879950.0,879950.0,879950.0,995000.0,699.806009017,20,11,redfin,10.98,database,9661.85,805.15,879950.0,1950000.0,1247554.1666666667,12,decreasing
Norfolk,MA,02056,1,2026-03-01,879000.0,879000.0,879000.0,879000.0,887500.0,323.054331865,29,10,redfin,14.87,database,13070.73,1089.23,720000.0,879000.0,829325.8333333334,12,stable
Watertown,MA,02472,1,2026-03-01,875000.0,875000.0,875000.0,875000.0,725000.0,501.985252411,81,30,redfin,12.2,database,10675.0,889.58,608000.0,1200000.0,978876.0833333334,12,decreasing
Nahant,MA,01908,1,2026-03-01,871890.0,871890.0,871890.0,871890.0,2999500.0,624.650205218,6,5,redfin,8.99,database,7838.29,653.19,579900.0,871890.0,813140.0,12,increasing
Acton,MA,01720,1,2026-03-01,870000.0,870000.0,870000.0,870000.0,657500.0,363.306451613,77,20,redfin,16.23,database,14120.1,1176.68,318500.0,2010000.0,945854.1666666666,12,stable
Roxbury,MA,02132,1,2026-03-01,862500.0,862500.0,862500.0,862500.0,1049000.0,476.463436996,56,8,redfin,12.4,database,10695.0,891.25,447500.0,1050000.0,762479.1666666666,12,increasing
Dunstable,MA,01827,1,2026-03-01,859000.0,859000.0,859000.0,859000.0,674500.0,294.231513744,9,3,redfin,13.39,database,11502.01,958.5,781250.0,880000.0,821875.0,12,stable
Burlington,MA,01803,1,2026-03-01,857750.0,857750.0,857750.0,857750.0,879000.0,386.131811918,6,2,redfin,8.69,database,7453.85,621.15,470000.0,875000.0,745854.1666666666,12,stable
Weymouth,MA,02190,1,2026-03-01,850000.0,850000.0,850000.0,850000.0,799900.0,327.426810478,3,0,redfin,10.12,database,8602.0,716.83,321700.0,905000.0,585883.3333333334,12,increasing
Rowley,MA,01969,1,2026-03-01,837500.0,837500.0,837500.0,837500.0,595000.0,371.104170765,10,4,redfin,12.09,database,10125.38,843.78,335950.0,940000.0,608358.3333333334,12,stable
Boston,MA,02127,1,2026-03-01,827500.0,827500.0,827500.0,827500.0,899000.0,807.214942432,70,51,redfin,12.4,database,10261.0,855.08,770000.0,1510500.0,1115875.0,12,decreasing
Bolton,MA,01740,1,2026-03-01,825000.0,825000.0,825000.0,825000.0,837450.0,306.789606035,25,12,redfin,18.07,database,14907.75,1242.31,244936.0,1050000.0,742406.0,12,increasing
Middleton,MA,01949,1,2026-03-01,825000.0,825000.0,825000.0,825000.0,999900.0,367.536229076,14,14,redfin,12.59,database,10386.75,865.56,434950.0,1200000.0,778162.5,12,increasing
Medfield,MA,02052,1,2026-03-01,819500.0,819500.0,819500.0,819500.0,825000.0,315.916088701,2,0,redfin,13.52,database,11079.64,923.3,300000.0,1256000.0,926250.0,12,increasing
Groton,MA,01450,1,2026-03-01,818000.0,818000.0,818000.0,818000.0,824450.0,326.872784956,20,13,redfin,14.78,database,12090.04,1007.5,500000.0,1064213.0,789674.0,12,stable
Saugus,MA,01906,1,2026-03-01,815000.0,815000.0,815000.0,815000.0,1024450.0,358.713418431,4,1,redfin,10.42,database,8492.3,707.69,365000.0,815000.0,627541.6666666666,12,increasing
Haverhill,MA,01835,1,2026-03-01,800000.0,800000.0,800000.0,800000.0,799900.0,316.567006683,5,0,redfin,10.61,database,8488.0,707.33,410000.0,800000.0,545952.0833333334,12,increasing
Lynn,MA,01902,1,2026-03-01,800000.0,800000.0,800000.0,800000.0,849900.0,297.930426112,12,9,redfin,10.3,database,8240.0,686.67,322950.0,820000.0,542533.3333333334,12,increasing
Woburn,MA,01801,1,2026-03-01,795000.0,795000.0,795000.0,795000.0,949000.0,334.491373423,4,1,redfin,9.15,database,7274.25,606.19,568900.0,927450.0,749979.0416666666,12,increasing
Easton,MA,02356,1,2026-03-01,785750.0,785750.0,785750.0,785750.0,650000.0,350.446984247,32,14,redfin,12.59,database,9892.59,824.38,410000.0,837500.0,667950.0,12,decreasing
Marlborough,MA,01752,1,2026-03-01,785000.0,785000.0,785000.0,785000.0,750000.0,247.010698553,7,6,redfin,10.54,database,8273.9,689.49,283500.0,791000.0,542195.8333333334,12,increasing
