Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
32,Ashland,Ashland,,,MA,01721,73.5,B-,56.7,96.2,76.6,86.2,60.5,85.8,19391.0,59.2,27.4,9.6,42.99,33,76,26,40,2026-04-02,26.28,35.52,35.52,35.52,513000.0,335,1,2,12.71,543.35,decreasing,458000,763000,-6
33,Canton,Canton,,,MA,02021,72.8,B-,69.5,82.0,62.2,52.3,79.5,76.5,25163.0,54.8,17.2,10.0,39.14,30,69,25,40,2026-04-02,25.39,31.28,31.28,31.28,587500.0,470,12,23,9.75,477.34,increasing,345000,587500,1
34,Medfield,Medfield,,,MA,02052,72.8,B-,61.3,87.0,77.8,70.0,88.8,87.5,13334.0,47.9,30.0,9.1,41.61,34,69,25,40,2026-04-02,25.46,35.73,35.73,35.73,702000.0,280,1,0,13.52,790.92,increasing,300000,702000,-7
35,Everett,Everett,,,MA,02149,72.1,B-,70.0,87.2,44.2,56.9,48.9,53.1,51825.0,60.0,17.6,9.7,39.0,30,73,20,40,2026-04-02,20.37,32.85,32.85,32.85,275000.0,466,3,3,12.62,289.21,decreasing,275000,557500,10
36,Cambridge,Cambridge,"E Cambridge, East Cambridge",,MA,02141,71.6,B-,100.0,54.6,16.4,31.5,38.7,25.7,121186.0,44.6,0.0,10.0,24.53,20,48,11,40,2026-04-02,11.42,20.6,20.6,20.6,756500.0,906,12,31,6.67,420.49,decreasing,756500,929950,-5
37,South Walpole,South Walpole,,,MA,02071,71.4,B-,54.3,95.8,,,,,,60.0,25.8,10.0,43.72,43,44,32,2,2026-04-02,32.49,38.6,38.6,38.6,385000.0,356,1,0,12.1,388.21,stable,385000,385000,-5
38,Cambridge,Cambridge,"N Cambridge, North Cambridge",,MA,02140,71.2,B-,100.0,53.5,16.4,31.5,38.7,25.7,121186.0,43.5,0.0,10.0,24.53,20,48,11,40,2026-04-02,11.42,20.6,20.6,20.6,775000.0,812,14,10,6.67,430.77,decreasing,775000,1100000,-5
39,Brighton,Brighton,Boston,Boston,MA,02135,70.9,B-,98.7,61.7,0.0,9.4,36.9,5.7,673458.0,48.1,3.8,9.8,30.4,24,59,16,40,2026-04-02,16.38,26.37,26.37,26.37,698250.0,725,36,67,12.4,721.52,increasing,505500,698250,-11
40,Cambridge,Cambridge,,,MA,02139,70.7,B-,100.0,52.0,16.4,31.5,38.7,25.7,121186.0,42.0,0.0,10.0,24.53,20,48,11,40,2026-04-02,11.42,20.6,20.6,20.6,800000.0,865,26,25,6.67,444.67,decreasing,800000,1230000,-5
41,Northborough,Northborough,,,MA,01532,70.2,B-,46.3,95.4,91.1,97.9,95.8,86.5,15867.0,60.0,27.1,8.3,48.37,42,84,33,40,2026-04-02,33.78,44.07,44.07,44.07,435000.0,339,8,7,14.82,537.22,decreasing,302500,540000,31
42,Brookline,Brookline,,,MA,02445,70.0,C+,83.9,47.7,75.5,85.9,81.2,73.4,63925.0,37.7,0.0,10.0,34.84,27,62,17,40,2026-04-02,17.6,28.38,28.38,28.38,887600.0,805,22,22,10.24,757.42,decreasing,798750,1204000,1
43,Cambridge,Cambridge,,,MA,02138,69.5,C+,100.0,48.6,16.4,31.5,38.7,25.7,121186.0,38.6,0.0,10.0,24.53,20,48,11,40,2026-04-02,11.42,20.6,20.6,20.6,874000.0,954,24,19,6.67,485.8,decreasing,830000,1153750,-4
44,Sharon,Sharon,,,MA,02067,69.3,C+,48.8,89.6,90.0,93.8,89.3,91.1,18762.0,60.0,22.8,6.8,46.11,37,75,30,40,2026-04-02,30.34,37.18,37.18,37.18,317500.0,396,2,4,17.15,453.76,stable,294000,430000,-8
45,Somerville,Somerville,Winter Hill,,MA,02145,69.2,C+,85.9,54.1,48.7,66.3,45.7,56.2,82149.0,39.5,4.6,10.0,34.23,28,64,12,40,2026-04-02,12.6,30.18,30.18,30.18,860000.0,708,29,9,10.98,786.9,stable,717250,920000,-8
46,Berlin,Berlin,,,MA,01503,69.1,C+,60.6,75.8,81.9,90.4,80.8,82.4,3479.0,45.8,21.2,8.8,41.81,36,74,28,40,2026-04-02,28.61,37.9,37.9,37.9,736000.0,417,1,1,14.06,862.35,increasing,585000,736000,-8
47,Holliston,Holliston,,,MA,01746,69.1,C+,43.0,97.6,89.4,94.6,88.1,89.9,15347.0,60.0,28.9,8.6,51.3,43,86,27,40,2026-04-02,25.13,46.87,46.87,46.87,229900.0,314,5,0,14.29,273.77,decreasing,200000,1060000,3
48,Somerville,Somerville,,,MA,02143,67.9,C+,85.9,50.4,48.7,66.3,45.7,56.2,82149.0,40.4,0.0,10.0,34.23,28,64,12,40,2026-04-02,12.6,30.18,30.18,30.18,845000.0,904,28,18,10.98,773.18,stable,789000,890000,-6
49,Marlborough,Marlborough,,,MA,01752,67.2,C+,55.0,96.6,39.5,36.8,55.7,57.2,42169.0,60.0,26.6,10.0,43.51,37,74,28,40,2026-04-02,21.98,39.8,39.8,39.8,269000.0,345,15,6,10.54,236.27,decreasing,268000,440000,6
50,South Easton,South Easton,,,MA,02375,67.1,C+,45.6,97.8,,,,,,60.0,27.8,10.0,48.98,48,49,36,2,2026-04-02,36.91,42.23,42.23,42.23,312500.0,330,4,2,12.1,315.1,stable,309000,352500,-4
51,Shrewsbury,Shrewsbury,,,MA,01545,66.9,C+,39.6,100.0,80.5,95.0,87.8,72.4,39620.0,60.0,30.0,10.0,54.4,47,93,36,40,2026-04-02,38.14,47.9,47.9,47.9,310000.0,295,7,8,11.5,297.08,increasing,277500,379000,13
52,Weymouth,Weymouth,,,MA,02188,66.1,C+,43.8,100.0,61.2,64.5,64.3,72.0,60159.0,60.0,30.0,10.0,50.61,37,88,33,40,2026-04-02,33.94,38.85,38.85,38.85,224750.0,253,2,1,10.12,189.54,decreasing,188500,564000,10
53,Mansfield,Mansfield,,,MA,02048,65.7,C+,43.3,98.4,64.3,79.2,75.1,60.4,24077.0,60.0,29.0,9.4,51.0,46,55,38,2,2026-04-02,38.72,40.87,40.87,40.87,398000.0,313,3,1,13.09,434.15,increasing,354000,455000,10
54,Randolph,Randolph,,,MA,02368,65.6,C+,48.1,94.7,56.0,65.4,68.2,59.3,35114.0,60.0,24.7,10.0,46.75,35,80,29,40,2026-04-02,29.75,36.82,36.82,36.82,280000.0,371,6,4,11.58,270.2,increasing,255000,325000,15
55,Winthrop,Winthrop,,,MA,02152,65.2,C+,45.4,91.3,70.4,76.9,80.4,71.5,18739.0,59.5,21.8,10.0,49.18,39,91,26,40,2026-04-02,26.62,41.22,41.22,41.22,508000.0,410,14,21,11.14,471.59,decreasing,455000,570000,3
