Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
38,North Weymouth,North Weymouth,"N Weymouth, Weymouth",Weymouth,MA,02191,65.4,C+,42.5,100.0,61.2,64.5,64.3,72.0,60159.0,60.0,30.0,10.0,51.77,50,52,34,2,2026-04-02,34.76,44.75,44.75,44.75,405000.0,256,1,0,12.1,408.38,decreasing,405000,465000,9
39,Shrewsbury,Shrewsbury,,,MA,01545,65.1,C+,39.6,94.9,80.5,95.0,87.8,72.4,39620.0,57.2,27.7,10.0,54.4,47,93,36,40,2026-04-02,38.14,47.9,47.9,47.9,547000.0,331,7,7,11.5,524.21,decreasing,547000,614500,15
40,Stoughton,Stoughton,,,MA,02072,64.8,C,45.1,99.5,49.6,63.8,52.5,55.9,29457.0,60.0,29.5,10.0,49.4,40,81,29,40,2026-04-02,29.32,41.12,41.12,41.12,419950.0,307,12,7,11.81,413.3,stable,410000,444000,4
41,East Weymouth,East Weymouth,Weymouth,Weymouth,MA,02189,64.4,C,43.4,95.7,61.2,64.5,64.3,72.0,60159.0,60.0,25.6,10.0,50.95,49,52,35,2,2026-04-02,35.83,43.27,43.27,43.27,470000.0,358,3,2,12.1,473.92,increasing,298750,470000,12
42,Westborough,Westborough,,,MA,01581,64.4,C,45.4,95.9,54.2,64.7,66.1,57.3,22643.0,60.0,28.3,7.6,49.15,38,85,30,40,2026-04-02,32.56,40.15,40.15,40.15,444722.0,322,6,3,15.93,590.37,decreasing,432222,857500,-4
43,Wrentham,Wrentham,,,MA,02093,64.2,C,40.0,100.0,61.5,73.4,76.0,59.4,12516.0,60.0,30.0,10.0,54.0,44,84,37,40,2026-04-02,37.1,45.78,45.78,45.78,225000.0,251,1,0,11.67,218.81,decreasing,225000,589500,2
44,North Easton,North Easton,,,MA,02356,64.0,C,40.4,97.8,,,,,,60.0,27.8,10.0,53.66,43,90,37,40,2026-04-02,37.07,44.47,44.47,44.47,419950.0,329,4,2,12.1,423.45,increasing,375000,495000,-14
45,Millis,Millis,,,MA,02054,63.8,C,43.4,79.7,95.0,98.2,94.6,94.3,9338.0,44.1,27.7,8.0,50.91,43,80,29,40,2026-04-02,29.39,45.9,45.9,45.9,765000.0,331,5,3,15.31,976.01,increasing,420000,900000,-5
46,Hyde Park,Hyde Park,"Boston, Readville",Boston,MA,02136,63.7,C,68.9,83.5,0.0,9.4,36.9,5.7,673458.0,50.4,23.3,9.8,39.33,32,65,23,40,2026-04-02,23.54,33.45,33.45,33.45,660000.0,389,5,5,12.4,682.0,increasing,505000,785000,-18
47,Hopedale,Hopedale,,,MA,01747,63.4,C,34.6,97.4,80.2,83.5,83.5,83.5,6063.0,60.0,30.0,7.4,58.84,49,97,39,40,2026-04-02,39.13,51.05,51.05,51.05,399950.0,197,2,0,16.25,541.6,stable,387500,459950,16
