Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Framingham,MA,01701,1,2026-03-13,780000.0,780000.0,780000.0,780000.0,,288,1,0,redfin,11.83,database,9227.4,768.95,257000,1238000,680208,12,increasing
Wilmington,MA,01887,1,2026-03-13,770000.0,770000.0,770000.0,770000.0,749950.0,421,40,8,redfin,11.41,database,8785.7,732.14,525000,784950,695159,12,stable
Reading,MA,01864,1,2026-03-13,769000.0,769000.0,769000.0,769000.0,699900.0,441,59,23,redfin,10.96,database,8428.24,702.35,507500,950000,725580,12,decreasing
Newton,MA,02459,1,2026-03-13,767500.0,767500.0,767500.0,767500.0,1335000.0,582,2,2,redfin,9.69,database,7437.08,619.76,744000,1925000,1550750,12,decreasing
Littleton,MA,01460,1,2026-03-13,765000.0,765000.0,765000.0,765000.0,,494,1,0,redfin,14.02,database,10725.3,893.78,725000,830000,772708,12,decreasing
Dedham,MA,02026,1,2026-03-13,760000.0,760000.0,760000.0,760000.0,500000.0,445,4,1,redfin,12.3,database,9348.0,779.0,515000,1249697,791210,12,increasing
Millis,MA,02054,1,2026-03-13,760000.0,760000.0,760000.0,760000.0,770000.0,350,31,14,redfin,15.31,database,11635.6,969.63,430000,1150000,741995,12,increasing
Foxborough,MA,02035,1,2026-03-13,760000.0,760000.0,760000.0,760000.0,,300,1,0,redfin,13.0,database,9880.0,823.33,290000,760000,563291,12,increasing
Allston,MA,02134,1,2026-03-13,757000.0,757000.0,757000.0,757000.0,1190000.0,581,2,3,redfin,12.4,database,9386.8,782.23,399000,1600000,959158,12,decreasing
Sharon,MA,02067,1,2026-03-13,752000.0,752000.0,752000.0,752000.0,769900.0,359,43,8,redfin,17.15,database,12896.8,1074.73,294000,935000,657995,12,decreasing
Hamilton,MA,01982,1,2026-03-13,750750.0,750750.0,750750.0,750750.0,849450.0,404,20,6,redfin,15.04,database,11291.28,940.94,477800,960000,831608,12,decreasing
Georgetown,MA,01833,1,2026-03-13,745000.0,745000.0,745000.0,745000.0,749000.0,358,31,8,redfin,13.76,database,10251.2,854.27,524500,785000,711414,12,decreasing
Windham,NH,03087,1,2026-03-13,739000.0,739000.0,739000.0,739000.0,699900.0,306,35,17,redfin,14.14,database,10449.46,870.79,739000,870000,810313,12,decreasing
Quincy,MA,02171,1,2026-03-13,735000.0,735000.0,735000.0,735000.0,669900.0,465,35,15,redfin,11.78,database,8658.3,721.52,421000,1134000,821958,12,decreasing
Lincoln,MA,01773,1,2026-03-13,728500.0,728500.0,728500.0,728500.0,,456,2,0,redfin,12.31,database,8967.83,747.32,675000,1595000,1190208,12,decreasing
