Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Roxbury,MA,02132,1,2026-04-01,830000.0,830000.0,830000.0,830000.0,995000.0,483,31,11,redfin,12.4,database,10292.0,857.67,830000,950000,883325,12,stable
Reading,MA,01864,1,2026-04-01,830000.0,830000.0,830000.0,830000.0,962500.0,407,27,8,redfin,10.96,database,9096.8,758.07,830000,1046000,902833,12,decreasing
Walpole,MA,02032,1,2026-04-01,820500.0,820500.0,820500.0,820500.0,1213500.0,528,1,2,redfin,12.45,database,10215.22,851.27,590000,1299000,892362,12,increasing
Newton,MA,02464,1,2026-04-01,819500.0,819500.0,819500.0,819500.0,1995000.0,647,4,1,redfin,9.69,database,7940.96,661.75,819500,2237500,1140041,12,decreasing
Waltham,MA,02451,1,2026-04-01,813500.0,813500.0,813500.0,813500.0,1100000.0,422,14,9,redfin,10.32,database,8395.32,699.61,785000,940000,851903,12,stable
Gloucester,MA,01930,1,2026-04-01,812500.0,812500.0,812500.0,812500.0,799999.0,456,28,19,redfin,9.31,database,7564.38,630.36,695000,815000,745700,12,increasing
Boston,MA,02128,1,2026-04-01,805000.0,805000.0,805000.0,805000.0,799000.0,513,4,6,redfin,12.4,database,9982.0,831.83,616312,840000,717760,12,increasing
Quincy,MA,02171,1,2026-04-01,803000.0,803000.0,803000.0,803000.0,734950.0,497,11,4,redfin,11.78,database,9459.34,788.28,695000,934500,776458,12,stable
Swampscott,MA,01907,1,2026-04-01,797500.0,797500.0,797500.0,797500.0,875000.0,398,22,10,redfin,12.0,database,9570.0,797.5,699000,1025000,835208,12,stable
Dorchester,MA,02124,1,2026-04-01,793000.0,793000.0,793000.0,793000.0,750000.0,450,12,8,redfin,12.4,database,9833.2,819.43,750000,902500,813666,12,decreasing
Southborough,MA,01772,1,2026-04-01,788000.0,788000.0,788000.0,788000.0,1149900.0,337,16,11,redfin,14.36,database,11315.68,942.97,734500,1347500,1005500,12,decreasing
Dunstable,MA,01827,1,2026-04-01,785500.0,785500.0,785500.0,785500.0,675000.0,324,4,3,redfin,13.39,database,10517.84,876.49,670000,917500,819479,12,increasing
Easton,MA,02356,1,2026-04-01,785000.0,785000.0,785000.0,785000.0,662500.0,356,21,7,redfin,12.59,database,9883.15,823.6,605000,864000,775166,12,increasing
Litchfield,NH,03052,1,2026-04-01,783000.0,783000.0,783000.0,783000.0,759900.0,330,13,3,redfin,14.2,database,11118.6,926.55,555500,796500,657508,12,increasing
Essex,MA,01929,1,2026-04-01,780000.0,780000.0,780000.0,780000.0,1685000.0,458,5,3,redfin,13.04,database,10171.2,847.6,650000,1485000,1019416,12,decreasing
Beverly,MA,01915,1,2026-04-01,775000.0,775000.0,775000.0,775000.0,789000.0,462,39,13,redfin,10.81,database,8377.75,698.15,730000,800000,764562,12,increasing
Groton,MA,01450,1,2026-04-01,770500.0,770500.0,770500.0,770500.0,912450.0,367,16,16,redfin,14.78,database,11387.99,949.0,755000,925000,827833,12,decreasing
Quincy,MA,02170,1,2026-04-01,765000.0,765000.0,765000.0,765000.0,739000.0,515,17,6,redfin,11.78,database,9011.7,750.98,700000,781500,743208,12,increasing
Sharon,MA,02067,1,2026-04-01,761000.0,761000.0,761000.0,761000.0,1037500.0,396,29,16,redfin,17.15,database,13051.15,1087.6,735000,935000,830000,12,decreasing
Hamilton,MA,01982,1,2026-04-01,758750.0,758750.0,758750.0,758750.0,824950.0,408,14,6,redfin,15.04,database,11411.6,950.97,739000,1350000,916716,12,decreasing
Reading,MA,01867,1,2026-04-01,757500.0,757500.0,757500.0,757500.0,994450.0,488,28,10,redfin,10.96,database,8302.2,691.85,757500,930000,884625,12,decreasing
Roslindale,MA,02131,1,2026-04-01,755890.0,755890.0,755890.0,755890.0,757000.0,482,11,6,redfin,12.4,database,9373.04,781.09,662500,935000,786606,12,increasing
Wilmington,MA,01887,1,2026-04-01,755000.0,755000.0,755000.0,755000.0,749900.0,400,32,8,redfin,11.41,database,8614.55,717.88,710000,784950,764018,12,increasing
Woburn,MA,01801,1,2026-04-01,754850.0,754850.0,754850.0,754850.0,744900.0,419,40,10,redfin,9.15,database,6906.88,575.57,720000,850000,781112,12,stable
Georgetown,MA,01833,1,2026-04-01,749000.0,749000.0,749000.0,749000.0,549900.0,337,15,5,redfin,13.76,database,10306.24,858.85,707000,800000,757179,12,increasing
