Town,State,Zip,Distance,Total_Runs,Last_Run_Date,Min_Time,Max_Time,Average_Time
Holbrook,MA,02343,34.24,1,2026-04-01,43.05,43.05,43.05
North Weymouth,MA,02191,34.76,1,2026-04-01,44.75,44.75,44.75
Brockton,MA,02301,34.82,1,2026-04-01,43.25,43.25,43.25
Foxboro,MA,02035,35.06,1,2026-04-01,41.2,41.2,41.2
South Weymouth,MA,02190,35.09,1,2026-04-01,41.9,41.9,41.9
East Weymouth,MA,02189,35.83,1,2026-04-01,43.27,43.27,43.27
Upton,MA,01568,36.42,1,2026-04-01,44.25,44.25,44.25
Abington,MA,02351,36.79,1,2026-04-01,47.0,47.0,47.0
South Easton,MA,02375,36.91,1,2026-04-01,42.23,42.23,42.23
North Easton,MA,02356,37.07,1,2026-04-01,44.47,44.47,44.47
Wrentham,MA,02093,37.1,1,2026-04-01,45.78,45.78,45.78
Milford,MA,01757,37.26,1,2026-04-01,44.7,44.7,44.7
Shrewsbury,MA,01545,38.14,1,2026-04-01,47.9,47.9,47.9
Mansfield,MA,02048,38.72,1,2026-04-01,40.87,40.87,40.87
Northbridge,MA,01534,39.03,1,2026-04-01,48.82,48.82,48.82
Hopedale,MA,01747,39.13,1,2026-04-01,51.05,51.05,51.05
West Bridgewater,MA,02379,39.41,1,2026-04-01,47.8,47.8,47.8
Whitman,MA,02382,39.74,1,2026-04-01,54.43,54.43,54.43
South Grafton,MA,01560,39.96,1,2026-04-01,49.95,49.95,49.95
Hingham,MA,02043,39.98,1,2026-04-01,50.15,50.15,50.15
Mendon,MA,01756,40.43,1,2026-04-01,53.18,53.18,53.18
Rockland,MA,02370,40.78,1,2026-04-01,50.45,50.45,50.45
Whitinsville,MA,01588,41.88,1,2026-04-01,55.98,55.98,55.98
Hanover,MA,02339,41.95,1,2026-04-01,50.98,50.98,50.98
Grafton,MA,01519,42.19,1,2026-04-01,49.45,49.45,49.45
Attleboro Falls,MA,02763,42.53,1,2026-04-01,46.85,46.85,46.85
Norwell,MA,02061,42.64,1,2026-04-01,49.83,49.83,49.83
Bridgewater,MA,02324,42.81,1,2026-04-01,51.85,51.85,51.85
Plainville,MA,02762,42.98,1,2026-04-01,48.63,48.63,48.63
Bellingham,MA,02019,43.05,1,2026-04-01,49.63,49.63,49.63
Franklin,MA,02038,43.4,1,2026-04-01,48.87,48.87,48.87
Cohasset,MA,02025,43.79,1,2026-04-01,57.18,57.18,57.18
East Bridgewater,MA,02333,44.13,1,2026-04-01,55.15,55.15,55.15
North Attleboro,MA,02760,44.79,1,2026-04-01,52.13,52.13,52.13
Norton,MA,02766,44.86,1,2026-04-01,51.2,51.2,51.2
Raynham,MA,02767,45.43,1,2026-04-01,50.98,50.98,50.98
Hanson,MA,02341,45.46,1,2026-04-01,57.07,57.07,57.07
Attleboro,MA,02703,45.89,1,2026-04-01,50.77,50.77,50.77
Millville,MA,01529,46.88,1,2026-04-01,64.08,64.08,64.08
Sutton,MA,01590,46.99,1,2026-04-01,51.55,51.55,51.55
Blackstone,MA,01504,47.94,1,2026-04-01,58.03,58.03,58.03
East Taunton,MA,02718,48.03,1,2026-04-01,51.85,51.85,51.85
Taunton,MA,02780,48.72,1,2026-04-01,56.22,56.22,56.22
Woonsocket,RI,02895,49.09,1,2026-04-01,63.78,63.78,63.78
Halifax,MA,02338,49.17,1,2026-04-01,65.27,65.27,65.27
Central Falls,RI,02863,49.88,1,2026-04-01,54.65,54.65,54.65
Cumberland,RI,02864,50.02,1,2026-04-01,53.0,53.0,53.0
Pawtucket,RI,02860,50.78,1,2026-04-01,53.75,53.75,53.75
Rumford,RI,02916,52.56,1,2026-04-01,59.08,59.08,59.08
Berkley,MA,02779,52.57,1,2026-04-01,56.47,56.47,56.47
North Dighton,MA,02764,53.3,1,2026-04-01,64.53,64.53,64.53
Lakeville,MA,02347,53.95,1,2026-04-01,59.48,59.48,59.48
Seekonk,MA,02771,54.18,1,2026-04-01,64.03,64.03,64.03
Douglas,MA,01516,54.24,1,2026-04-01,61.05,61.05,61.05
Assonet,MA,02702,54.28,1,2026-04-01,55.9,55.9,55.9
Kingston,MA,02364,55.09,1,2026-04-01,61.28,61.28,61.28
Manville,RI,02838,55.11,1,2026-04-01,57.47,57.47,57.47
Providence,RI,02903,55.58,1,2026-04-01,59.27,59.27,59.27
Rehoboth,MA,02769,56.09,1,2026-04-01,68.22,68.22,68.22
Lincoln,RI,02865,56.24,1,2026-04-01,59.22,59.22,59.22
Smithfield,RI,02917,56.97,1,2026-04-01,59.95,59.95,59.95
Uxbridge,MA,01569,57.02,1,2026-04-01,61.67,61.67,61.67
Middleboro,MA,02346,57.7,1,2026-04-01,60.95,60.95,60.95
Dighton,MA,02715,57.91,1,2026-04-01,64.82,64.82,64.82
East Providence,RI,02914,58.11,1,2026-04-01,61.95,61.95,61.95
Cranston,RI,02910,58.8,1,2026-04-01,62.72,62.72,62.72
Plympton,MA,02367,59.21,1,2026-04-01,64.95,64.95,64.95
East Freetown,MA,02717,59.49,1,2026-04-01,62.15,62.15,62.15
North Smithfield,RI,02896,59.6,1,2026-04-01,63.53,63.53,63.53
Fall River,MA,02720,59.67,1,2026-04-01,62.05,62.05,62.05
Slatersville,RI,02876,59.93,1,2026-04-01,63.83,63.83,63.83
North Providence,RI,02911,61.19,1,2026-04-01,66.05,66.05,66.05
Riverside,RI,02915,61.62,1,2026-04-01,69.03,69.03,69.03
Johnston,RI,02919,61.66,1,2026-04-01,63.3,63.3,63.3
Greenville,RI,02828,62.05,1,2026-04-01,67.97,67.97,67.97
West Wareham,MA,02576,62.23,1,2026-04-01,64.18,64.18,64.18
Somerset,MA,02725,63.84,1,2026-04-01,68.63,68.63,68.63
Rochester,MA,02770,63.86,1,2026-04-01,72.12,72.12,72.12
Swansea,MA,02777,64.38,1,2026-04-01,70.48,70.48,70.48
Carver,MA,02330,64.71,1,2026-04-01,68.53,68.53,68.53
Pascoag,RI,02859,64.9,1,2026-04-01,75.12,75.12,75.12
Barrington,RI,02806,65.22,1,2026-04-01,72.22,72.22,72.22
Oakland,RI,02858,65.37,1,2026-04-01,72.03,72.03,72.03
Acushnet,MA,02743,65.59,1,2026-04-01,70.83,70.83,70.83
North Scituate,RI,02857,65.61,1,2026-04-01,70.23,70.23,70.23
Warwick,RI,02886,65.95,1,2026-04-01,69.7,69.7,69.7
Mapleville,RI,02839,66.15,1,2026-04-01,73.4,73.4,73.4
Harrisville,RI,02830,66.47,1,2026-04-01,73.55,73.55,73.55
Wareham,MA,02571,66.62,1,2026-04-01,70.02,70.02,70.02
Warren,RI,02885,67.73,1,2026-04-01,76.4,76.4,76.4
East Wareham,MA,02538,68.12,1,2026-04-01,72.02,72.02,72.02
West Warwick,RI,02893,68.13,1,2026-04-01,74.45,74.45,74.45
Chepachet,RI,02814,68.52,1,2026-04-01,75.53,75.53,75.53
Hope,RI,02831,69.19,1,2026-04-01,73.67,73.67,73.67
Buzzards Bay,MA,02532,69.37,1,2026-04-01,72.32,72.32,72.32
East Greenwich,RI,02818,71.03,1,2026-04-01,77.17,77.17,77.17
Clayville,RI,02815,74.31,1,2026-04-01,81.82,81.82,81.82
Bristol,RI,02809,75.72,1,2026-04-01,80.9,80.9,80.9
