Rank,Town,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
39,Southborough,MA,01772,58.8,C-,56.8,78.5,19.4,75.3,69.7,1.3,10569.0,42.7,27.2,8.6,42.95,34,75,26,39,2026-04-02,26.32,35.78,35.78,35.78,788000.0,337,16,11,14.36,942.97,decreasing,734500,1347500,-15
40,Mansfield,MA,02048,58.5,C-,48.6,84.8,30.3,51.0,22.0,32.2,24077.0,49.1,26.3,9.4,46.27,46,46,38,1,2026-04-02,38.72,40.87,40.87,40.87,681250.0,349,22,12,13.09,743.13,decreasing,681250,775000,New
41,Medway,MA,02053,57.8,C-,39.7,84.6,55.9,30.6,65.8,72.0,13836.0,48.6,27.2,8.8,54.28,47,85,31,39,2026-04-02,31.65,49.03,49.03,49.03,690000.0,337,22,11,14.0,805.0,decreasing,595000,865000,14
42,Stoughton,MA,02072,57.4,C-,45.0,90.3,22.0,27.6,16.4,49.0,29457.0,52.4,28.0,10.0,49.48,40,81,29,39,2026-04-02,29.32,41.12,41.12,41.12,627500.0,327,40,15,11.81,617.56,stable,565000,702500,-10
43,Dorchester,MA,02124,57.2,C-,47.6,71.0,,,,,,42.4,18.8,9.8,47.13,38,79,22,39,2026-04-02,22.1,39.5,39.5,39.5,793000.0,450,12,8,12.4,819.43,decreasing,750000,902500,14
44,Hopkinton,MA,01748,56.9,C-,48.5,74.6,43.8,33.2,45.4,46.7,19971.0,38.6,27.3,8.7,46.36,36,82,32,39,2026-04-02,32.62,38.27,38.27,38.27,875000.0,336,15,17,14.1,1028.12,decreasing,850000,1130000,3
45,Milford,MA,01757,56.6,C-,41.6,95.1,17.1,31.6,8.6,46.1,30640.0,55.5,30.0,9.6,52.6,43,90,37,39,2026-04-02,37.26,44.7,44.7,44.7,575000.0,278,29,8,12.69,608.06,stable,549000,595000,-14
46,Winthrop,MA,02152,56.6,C-,45.4,79.2,41.4,47.7,27.6,57.9,18739.0,47.1,22.1,10.0,49.17,39,91,26,39,2026-04-02,26.62,41.22,41.22,41.22,715000.0,405,15,5,11.14,663.76,increasing,650000,800000,0
47,Northborough,MA,01532,56.3,C-,46.2,86.3,19.7,58.9,47.0,1.6,15867.0,49.1,28.9,8.3,48.4,42,84,33,39,2026-04-02,33.78,44.07,44.07,44.07,682000.0,314,23,13,14.82,842.27,stable,682000,825000,-13
48,Weymouth,MA,02188,55.7,C-,43.7,86.0,25.3,28.6,26.0,28.6,60159.0,51.4,24.6,10.0,50.68,37,88,33,39,2026-04-02,33.94,38.85,38.85,38.85,644000.0,372,17,6,10.12,543.11,increasing,577000,660000,-9
49,Shrewsbury,MA,01545,55.6,C-,39.5,85.9,38.5,23.4,59.5,31.2,39620.0,47.6,28.3,10.0,54.44,47,93,36,39,2026-04-02,38.14,47.9,47.9,47.9,706000.0,323,34,22,11.5,676.58,increasing,605000,785000,5
50,Westborough,MA,01581,55.6,C-,45.3,78.8,35.5,53.9,17.1,77.6,22643.0,46.5,24.7,7.6,49.19,38,85,30,39,2026-04-02,32.56,40.15,40.15,40.15,725000.0,371,23,9,15.93,962.44,decreasing,710000,937500,-1
51,Brockton,MA,02301,55.5,C-,40.4,98.1,6.6,9.9,4.3,57.6,105788.0,59.7,28.4,10.0,53.62,42,90,36,39,2026-04-02,34.82,43.25,43.25,43.25,505000.0,321,55,21,11.63,489.43,stable,498500,537500,-23
52,Brockton,MA,02302,55.2,C-,40.4,97.1,6.6,9.9,4.3,57.6,105788.0,60.0,27.1,10.0,53.62,42,90,36,39,2026-04-02,34.82,43.25,43.25,43.25,480000.0,339,57,21,11.63,465.2,stable,474950,504000,-22
53,Abington,MA,02351,55.1,C-,36.1,91.3,33.9,37.5,34.2,26.0,17090.0,55.4,26.4,9.6,57.53,46,92,36,39,2026-04-02,36.79,47.0,47.0,47.0,577000.0,348,25,9,12.81,615.95,stable,577000,655000,-1
54,Wrentham,MA,02093,54.8,D,39.9,84.1,36.2,90.6,14.5,45.7,12516.0,48.0,26.1,10.0,54.09,44,84,37,39,2026-04-02,37.1,45.78,45.78,45.78,700000.0,352,11,8,11.67,680.75,decreasing,637500,890000,2
55,Weymouth,MA,02190,54.5,D,43.7,82.3,25.3,28.6,26.0,28.6,60159.0,49.8,22.5,10.0,50.68,37,88,33,39,2026-04-02,33.94,38.85,38.85,38.85,670000.0,400,21,8,10.12,565.03,stable,670000,765000,-13
56,Weymouth,MA,02191,54.4,D,43.7,82.2,25.3,28.6,26.0,28.6,60159.0,57.1,15.1,10.0,50.68,37,88,33,39,2026-04-02,33.94,38.85,38.85,38.85,548375.0,498,14,6,10.12,462.46,decreasing,548375,705500,-13
57,Weymouth,MA,02189,54.2,D,43.7,81.7,25.3,28.6,26.0,28.6,60159.0,49.2,22.5,10.0,50.68,37,88,33,39,2026-04-02,33.94,38.85,38.85,38.85,680000.0,400,17,5,10.12,573.47,increasing,579950,732000,-12
58,Hopedale,MA,01747,53.1,D,34.6,89.0,30.9,90.6,34.5,4.3,6063.0,51.6,30.0,7.4,58.9,49,97,39,39,2026-04-02,39.13,51.05,51.05,51.05,640000.0,270,13,8,16.25,866.67,increasing,543000,640000,0
59,Quincy,MA,02169,52.2,D,43.8,80.9,13.5,6.9,19.4,43.1,103434.0,49.0,21.9,10.0,50.56,39,87,31,39,2026-04-02,31.08,39.58,39.58,39.58,682500.0,408,34,11,11.78,669.99,increasing,629000,742500,-9
60,Braintree,MA,02184,52.1,D,45.9,78.7,10.5,10.5,8.9,40.8,39134.0,47.1,21.6,10.0,48.69,38,81,30,39,2026-04-02,30.51,39.07,39.07,39.07,715000.0,412,46,10,10.06,599.41,increasing,655000,800000,-16
61,Quincy,MA,02170,47.8,F,43.8,68.3,13.5,6.9,19.4,43.1,103434.0,44.1,14.2,10.0,50.56,39,87,31,39,2026-04-02,31.08,39.58,39.58,39.58,765000.0,515,17,6,11.78,750.98,increasing,700000,781500,-1
62,Quincy,MA,02171,47.4,F,43.8,67.2,13.5,6.9,19.4,43.1,103434.0,42.0,15.2,10.0,50.56,39,87,31,39,2026-04-02,31.08,39.58,39.58,39.58,803000.0,497,11,4,11.78,788.28,stable,695000,934500,-1
