Town,State,Tax_Rate_Per_1000,Fiscal_Year,Last_Updated ,Comments
Newbury,MA,7.51,2026,2/19/2026,
Newburyport,MA,9.26,2026,2/19/2026,
Newton,MA,9.69,2026,2/19/2026,
Norfolk,MA,14.87,2026,2/19/2026,
North Adams,MA,15.97,2026,2/19/2026,
North Andover,MA,11.24,2026,2/19/2026,
North Attleborough,MA,11.06,2026,2/19/2026,
North Brookfield,MA,11.96,2026,2/19/2026,
North Reading,MA,13.02,2026,2/19/2026,
Northampton,MA,13.67,2026,2/19/2026,
Northborough,MA,14.82,2026,2/19/2026,
Northbridge,MA,11.63,2026,2/19/2026,
Northfield,MA,13.28,2026,2/19/2026,
Norton,MA,13.03,2026,2/19/2026,
Norwell,MA,12.83,2026,2/19/2026,
Norwood,MA,9.82,2026,2/19/2026,
Oak Bluffs,MA,4.99,2026,2/19/2026,
Oakham,MA,11.12,2026,2/19/2026,
Orange,MA,16.6,2026,2/19/2026,
Orleans,MA,6.11,2026,2/19/2026,
Otis,MA,5.96,2026,2/19/2026,
Oxford,MA,12.23,2026,2/19/2026,
Palmer,MA,16.66,2026,2/19/2026,
Paxton,MA,15.17,2026,2/19/2026,
Peabody,MA,9.47,2026,2/19/2026,
Pelham,MA,18.79,2026,2/19/2026,
Pembroke,MA,11.78,2026,2/19/2026,
Pepperell,MA,13.78,2026,2/19/2026,
Peru,MA,16.09,2026,2/19/2026,
Petersham,MA,14.24,2026,2/19/2026,
Phillipston,MA,10.95,2026,2/19/2026,
Pittsfield,MA,17.5,2026,2/19/2026,
Plainfield,MA,17.56,2026,2/19/2026,
Plainville,MA,11.29,2026,2/19/2026,
Plymouth,MA,12.55,2026,2/19/2026,
Plympton,MA,15.26,2026,2/19/2026,
Princeton,MA,13.44,2026,2/19/2026,
Provincetown,MA,6.13,2026,2/19/2026,
Quincy,MA,11.78,2026,2/19/2026,
Randolph,MA,11.58,2026,2/19/2026,
Raynham,MA,11.75,2026,2/19/2026,
Reading,MA,10.96,2026,2/19/2026,
Rehoboth,MA,10.85,2026,2/19/2026,
Revere,MA,8.94,2026,2/19/2026,
Richmond,MA,10.25,2026,2/19/2026,
Rochester,MA,10.59,2026,2/19/2026,
Rockland,MA,13.87,2026,2/19/2026,
Rockport,MA,8.46,2026,2/19/2026,
Roslindale,MA,12.4,2026,2/19/2026,Part of Boston
Rowe,MA,5.24,2026,2/19/2026,
Rowley,MA,12.09,2026,2/19/2026,
Roxbury,MA,12.4,2026,2/19/2026,Part of Boston
Royalston,MA,10.26,2026,2/19/2026,
Russell,MA,18.42,2026,2/19/2026,
Rutland,MA,13.87,2026,2/19/2026,
Salem,MA,10.78,2026,2/19/2026,
Salisbury,MA,9.93,2026,2/19/2026,
Sandisfield,MA,7.89,2026,2/19/2026,
Sandwich,MA,10.19,2026,2/19/2026,
Saugus,MA,10.42,2026,2/19/2026,
Savoy,MA,14.52,2026,2/19/2026,
Scituate,MA,9.83,2026,2/19/2026,
Seekonk,MA,12.27,2026,2/19/2026,
Sharon,MA,17.15,2026,2/19/2026,
Sheffield,MA,11.82,2026,2/19/2026,
Shelburne,MA,12.79,2026,2/19/2026,
Sherborn,MA,15.66,2026,2/19/2026,
Shirley,MA,12.39,2026,2/19/2026,
Shrewsbury,MA,11.5,2026,2/19/2026,
Shutesbury,MA,16.21,2026,2/19/2026,
Somerset,MA,12.93,2026,2/19/2026,
Somerville,MA,10.98,2026,2/19/2026,
South Hadley,MA,13.52,2026,2/19/2026,
Southampton,MA,13.11,2026,2/19/2026,
Southborough,MA,14.36,2026,2/19/2026,
Southbridge,MA,14.89,2026,2/19/2026,
Southwick,MA,14.42,2026,2/19/2026,
Spencer,MA,10.98,2026,2/19/2026,
Springfield,MA,15.46,2026,2/19/2026,
Sterling,MA,12.55,2026,2/19/2026,
Stockbridge,MA,6.79,2026,2/19/2026,
Stoneham,MA,10.06,2026,2/19/2026,
Stoughton,MA,11.81,2026,2/19/2026,
Stow,MA,17.87,2026,2/19/2026,
Sturbridge,MA,15.6,2026,2/19/2026,
Sudbury,MA,14.27,2026,2/19/2026,
Sunderland,MA,12.44,2026,2/19/2026,
Sutton,MA,11.55,2026,2/19/2026,
Swampscott,MA,12,2026,2/19/2026,
Swansea,MA,11.36,2026,2/19/2026,
Taunton,MA,11.14,2026,2/19/2026,
Templeton,MA,11.87,2026,2/19/2026,
Tewksbury,MA,12.56,2026,2/19/2026,
Tisbury,MA,7.42,2026,2/19/2026,
Tolland,MA,7.95,2026,2/19/2026,
