Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Hudson,71.6,19.888037713612256,405,20364,77.9,73.8,76.3,1.3258691809074838,1.571400510705166,8.544490276959339,27.0,32.0,174.0
Hull,60.4,27.72913018096906,285,10278,56.2,87.0,65.9,2.626970227670753,0.7783615489394824,12.259194395796849,27.0,8.0,126.0
Ipswich,81.3,13.111268603827073,185,14110,81.1,85.8,86.4,1.1339475549255846,0.8504606661941885,4.8901488306165835,16.0,12.0,69.0
Kingston,63.2,25.791730051168578,373,14462,70.0,71.2,67.7,1.7978149633522336,1.728668233992532,11.616650532429816,26.0,25.0,168.0
Lakeville,71.2,20.14353286576415,247,12262,78.3,75.5,74.4,1.30484423421954,1.4679497634969825,9.2154624041755,16.0,18.0,113.0
Lancaster,62.4,26.353830757255643,237,8993,74.1,53.7,71.6,1.556766373846325,2.779939953297009,10.230179028132993,14.0,25.0,92.0
Lawrence,32.2,47.452200779116104,4239,89332,32.6,53.9,47.2,4.041105091120763,2.764966641293154,18.95177539963283,361.0,247.0,1693.0
Lee,56.5,30.447025695177754,173,5682,64.8,79.5,55.0,2.1119324181626187,1.2319605772615276,16.191481872580077,12.0,7.0,92.0
Leicester,50.6,34.5687811831789,388,11224,51.0,59.9,64.9,2.940128296507484,2.4055595153243052,12.651461154668567,33.0,27.0,142.0
Lenox,68.7,21.884858044164037,111,5072,86.9,70.4,64.9,0.7886435331230284,1.774447949526814,12.618296529968454,4.0,9.0,64.0
Leominster,25.1,52.4101427311181,2317,44209,22.3,51.7,42.9,4.6596846795901286,2.8953380533375555,20.42570517315479,206.0,128.0,903.0
Leverett,80.1,13.955984970477724,26,1863,82.1,82.1,85.1,1.0735373054213635,1.0735373054213635,5.367686527106818,2.0,2.0,10.0
Lexington,86.1,9.699795642287654,337,34743,91.8,88.5,85.6,0.48930719857237426,0.6907866332786461,5.1808997495898454,17.0,24.0,180.0
Lincoln,88.6,8.004574042309892,56,6996,100.0,95.2,80.1,0.0,0.2858776443682104,7.14694110920526,0.0,2.0,50.0
Littleton,85.0,10.481181515007146,110,10495,92.1,92.1,81.5,0.4764173415912339,0.4764173415912339,6.669842782277275,5.0,5.0,70.0
Longmeadow,76.2,16.675152749490834,262,15712,86.2,74.5,77.9,0.8273930753564155,1.5274949083503055,7.955702647657841,13.0,24.0,125.0
Lowell,6.2,65.64633194372935,7905,120418,25.4,30.8,15.7,4.476075005397864,4.5342058496238105,29.66333936786859,539.0,546.0,3572.0
Ludlow,63.3,25.712662183918933,543,21118,73.2,66.1,67.9,1.6100009470593806,2.036177668339805,11.554124443602614,34.0,43.0,244.0
Lunenburg,74.7,17.73965186974265,213,12007,83.3,73.6,77.8,0.9994170067460647,1.5824102606812693,7.995336053968518,12.0,19.0,96.0
Lynn,6.5,65.47555778875049,6776,103489,8.5,26.5,34.1,5.488506024794906,4.879745673453217,23.393790644416313,568.0,505.0,2421.0
Lynnfield,73.8,18.367346938775512,243,13230,81.1,83.6,72.9,1.1337868480725624,0.9826152683295539,9.750566893424036,15.0,13.0,129.0
Malden,40.6,41.54858830761849,2771,66693,53.0,47.8,50.2,2.8188865398167726,3.1787443959635944,17.917922420643844,188.0,212.0,1195.0
Mansfield,64.3,24.961581592391077,601,24077,79.2,75.1,60.4,1.2460024089379906,1.4952028907255888,14.245960875524359,30.0,36.0,343.0
Marblehead,75.2,17.35031104199067,357,20576,86.2,80.6,73.0,0.8262052877138414,1.1664074650077763,9.720062208398133,17.0,24.0,200.0
Marion,77.0,16.101853585470888,86,5341,96.9,84.4,65.7,0.18723085564501032,0.9361542782250515,12.35723647257068,1.0,5.0,66.0
Marlborough,39.5,42.329673456804755,1785,42169,36.8,55.7,57.2,3.7942564443074294,2.6559795110152007,15.390452702222012,160.0,112.0,649.0
Marshfield,85.6,10.060284913412433,262,26043,84.0,88.5,91.1,0.9599508505164536,0.6911646123718466,3.187036823714626,25.0,18.0,83.0
Mashpee,67.9,22.47771605735693,348,15482,69.9,76.3,74.5,1.808551866683891,1.4210050381087715,9.171941609611162,28.0,22.0,142.0
Mattapoisett,86.1,9.758982699985213,66,6763,97.5,82.7,83.6,0.1478633742422002,1.0350436196954014,5.914534969688009,1.0,7.0,40.0
Maynard,54.6,31.792975970425136,344,10820,69.2,42.4,67.4,1.8484288354898337,3.6044362292051755,11.737523105360443,20.0,39.0,127.0
Medfield,77.8,15.52422378881056,207,13334,70.0,88.8,87.5,1.799910004499775,0.6749662516874156,4.4997750112494375,24.0,9.0,60.0
Medford,55.5,31.119569935557113,1864,59898,71.3,60.8,57.1,1.7195899696150123,2.3540018030652106,15.45961467828642,103.0,141.0,926.0
Medway,86.4,9.540329575021683,132,13836,86.7,88.0,90.6,0.7950274645851403,0.7227522405319456,3.3969355305001443,11.0,10.0,47.0
Melrose,78.4,15.131271294007615,453,29938,85.0,81.6,79.7,0.9018638519607188,1.102278041285323,7.315117910348053,27.0,33.0,219.0
Mendon,71.8,19.717435180872535,127,6441,81.9,71.5,74.6,1.0867877658748641,1.7078093463747865,9.160068312373854,7.0,11.0,59.0
Merrimac,89.5,7.342143906020558,50,6810,97.6,90.2,86.5,0.14684287812041116,0.5873715124816447,4.845814977973568,1.0,4.0,33.0
Methuen,65.5,24.174528301886795,1312,54272,70.8,80.0,67.1,1.7504422169811322,1.1976709905660377,11.82930424528302,95.0,65.0,642.0
Middleton,81.6,12.852696053820665,128,9959,84.9,79.9,86.9,0.9037051912842655,1.2049402550456874,4.719349332262276,9.0,12.0,47.0
Milford,49.1,35.639686684073105,1092,30640,46.7,72.8,59.0,3.1984334203655354,1.6318537859007831,14.751958224543081,98.0,50.0,452.0
Millbury,72.7,19.12086361391378,271,14173,83.5,80.0,70.6,0.9877936922317082,1.1994637691385028,10.58350384533973,14.0,17.0,150.0
Millis,95.0,3.533947312058257,33,9338,98.2,94.6,94.3,0.10708931248661384,0.3212679374598415,2.034696937245663,1.0,3.0,19.0
Millville,90.1,6.903043614684656,22,3187,94.8,89.5,90.4,0.31377470975839344,0.6275494195167869,3.451521807342328,1.0,2.0,11.0
Milton,84.1,11.14157786956371,321,28811,91.3,86.1,83.2,0.5206344798861546,0.8330151678178473,6.039359966679393,15.0,24.0,174.0
Monson,45.2,38.3390494855463,313,8164,28.5,63.3,71.4,4.287114159725625,2.204801567858893,10.289073983341499,35.0,18.0,84.0
Montague,41.8,40.7727865354984,344,8437,34.8,50.6,65.8,3.911342894393742,2.9631385563588952,12.326656394453005,33.0,25.0,104.0
Montgomery,100.0,0.0,0,837,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Nahant,75.2,17.37567405632115,58,3338,60.1,95.0,87.5,2.396644697423607,0.2995805871779509,4.493708807669263,8.0,1.0,15.0
Nantucket,49.6,35.31015678254942,518,14670,67.1,69.3,44.4,1.9768234492160874,1.8404907975460123,19.90456714383095,29.0,27.0,292.0
Natick,62.9,25.994211598242043,970,37316,72.8,76.8,62.1,1.6346875334976954,1.3935041269160682,13.64026155000536,61.0,52.0,509.0
Needham,80.5,13.664935774801858,450,32931,92.9,79.2,78.3,0.4251313352160578,1.2450274817041693,7.804196653609061,14.0,41.0,257.0
New Bedford,6.0,65.77311040486389,6664,101318,46.5,14.5,8.2,3.207722221125565,5.842989399711798,32.20553110010067,325.0,592.0,3263.0
New Braintree,80.2,13.861386138613861,14,1010,67.0,100.0,89.0,1.9801980198019802,0.0,3.9603960396039604,2.0,0.0,4.0
New Marlborough,82.9,11.976047904191617,18,1503,77.8,88.9,90.8,1.3306719893546242,0.6653359946773121,3.32667997338656,2.0,1.0,5.0
Newbury,76.5,16.424418604651162,113,6880,80.6,83.0,79.0,1.1627906976744187,1.0174418604651163,7.558139534883721,8.0,7.0,52.0
Newburyport,84.0,11.219537650681,215,19163,89.6,90.4,82.3,0.6262067525961489,0.5740228565464698,6.366435318060846,12.0,11.0,122.0
Newton,80.2,13.880926130099228,1259,90700,92.6,82.0,76.6,0.44101433296582143,1.0804851157662625,8.434399117971335,40.0,98.0,765.0
Norfolk,73.1,18.80956361812406,225,11962,88.9,63.8,75.2,0.6687844841999665,2.1735495736498915,8.944992476174553,8.0,26.0,107.0
North Adams,0.0,103.7463976945245,1296,12492,0.0,27.5,1.5,10.967018892090937,4.803073967339097,34.50208133205251,137.0,60.0,431.0
North Andover,77.6,15.683833826046367,504,32135,78.7,80.3,84.0,1.2758674342617085,1.182511280535242,5.756962813132099,41.0,38.0,185.0
North Reading,84.0,11.233897063312778,184,16379,88.8,87.8,84.2,0.671591672263264,0.7326454606508335,5.678002320043959,11.0,12.0,93.0
Northampton,33.6,46.463356219064345,1455,31315,35.6,60.6,44.0,3.863962957049337,2.3630847836500077,20.05428708286764,121.0,74.0,628.0
