Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Wayland,66.8,3.2019353920592,45.0,14054,44.7,79.3,56.6,0.2846164792941511,0.2846164792941511,0.9250035577059912,4.0,4.0,13.0
Webster,6.9,14.648930796430376,261.0,17817,33.9,3.3,7.6,0.39288320143683003,3.1430656114946403,3.255317954762306,7.0,56.0,58.0
Wellesley,86.2,1.9204916458613404,60.0,31242,67.4,84.5,74.3,0.12803277639075603,0.22405735868382307,0.6081556878560912,4.0,7.0,19.0
Wellfleet,86.5,1.9204389574759946,7.0,3645,90.6,95.4,24.3,0.0,0.0,1.9204389574759946,0.0,0.0,7.0
Wenham,53.3,4.448938321536906,22.0,4945,32.6,68.1,49.3,0.4044489383215369,0.4044489383215369,1.2133468149646107,2.0,2.0,6.0
West Boylston,82.6,2.1415973796926178,17.0,7938,68.1,70.1,86.2,0.12597631645250695,0.3779289493575208,0.3779289493575208,1.0,3.0,3.0
West Bridgewater,28.9,7.206279758074894,56.0,7771,26.0,38.5,24.0,0.514734268433921,0.9007849697593617,1.9302535066272037,4.0,7.0,15.0
West Brookfield,59.9,3.8294613224406433,15.0,3917,49.3,60.9,54.6,0.2552974214960429,0.5105948429920858,1.0211896859841716,1.0,2.0,4.0
West Newbury,56.9,4.0598290598290605,19.0,4680,90.6,85.5,6.9,0.0,0.21367521367521367,3.4188034188034186,0.0,1.0,16.0
West Springfield,13.2,11.816177483808737,343.0,29028,27.3,10.2,7.9,0.48229295852280557,2.066969822240595,3.2038032244729227,14.0,60.0,93.0
West Tisbury,76.0,2.474566950783613,9.0,3637,46.7,95.4,51.6,0.27495188342040144,0.0,1.0998075336816058,1.0,0.0,4.0
Westborough,35.5,6.403745086781787,145.0,22643,53.9,17.1,77.6,0.22081879609592367,1.5898953318906506,0.5299651106302169,5.0,36.0,12.0
Westfield,33.2,6.633170804148207,268.0,40403,38.8,31.2,29.6,0.3465089226047571,1.0642774051431825,1.7077939756948741,14.0,43.0,69.0
Westford,89.1,1.758312020460358,44.0,25024,90.6,71.4,69.4,0.0,0.3596547314578005,0.6793478260869565,0.0,9.0,17.0
Westminster,41.8,5.758608532142437,49.0,8509,36.8,44.7,25.7,0.35256786931484313,0.7051357386296863,1.8803619696791631,3.0,6.0,16.0
Weston,62.5,3.635748710577492,43.0,11827,76.3,53.3,38.5,0.08455229559482541,0.5918660691637778,1.4373890251120318,1.0,7.0,17.0
Westport,51.0,4.60939838371745,77.0,16705,60.2,41.4,50.0,0.17958695001496558,0.8380724334031726,1.197246333433104,3.0,14.0,20.0
Westwood,91.8,1.3911570797798343,23.0,16533,69.1,89.1,82.6,0.12097018085042037,0.12097018085042037,0.42339563297647126,2.0,2.0,7.0
Weymouth,25.3,7.679648930334613,462.0,60159,28.6,26.0,28.6,0.4488106517728021,1.2300736381921242,1.7453747568942304,27.0,74.0,105.0
Whately,77.0,2.4600246002460024,4.0,1626,90.6,51.0,74.0,0.0,0.6150061500615006,0.6150061500615006,0.0,1.0,1.0
Whitman,47.7,4.786855553399315,74.0,15459,56.9,40.8,44.7,0.19406171162429653,0.840934083705285,1.293744744161977,3.0,13.0,20.0
Wilbraham,49.0,4.637523017117916,68.0,14663,65.8,36.2,52.0,0.13639773579758577,0.9547841505831003,1.0911818863806861,2.0,14.0,16.0
Williamsburg,97.4,0.40404040404040403,1.0,2475,90.6,95.4,83.6,0.0,0.0,0.40404040404040403,0.0,0.0,1.0
Williamstown,87.2,1.8500380890194799,17.0,9189,90.6,75.0,60.2,0.0,0.32647730982696704,0.8706061595385788,0.0,3.0,8.0
Wilmington,40.1,5.881858667338879,140.0,23802,50.0,32.2,37.8,0.25207965717166625,1.0503319048819426,1.4704646668347197,6.0,25.0,35.0
Winchendon,14.5,11.42911117408142,121.0,10587,13.8,13.2,28.3,0.8500991782374611,1.7946538207235287,1.7946538207235287,9.0,19.0,19.0
Winchester,84.5,2.0039243518557175,48.0,23953,76.6,70.4,81.2,0.08349684799398822,0.37573581597294703,0.45923266396693524,2.0,9.0,11.0
Winthrop,41.4,5.763381183627728,108.0,18739,47.7,27.6,57.9,0.26682320294572814,1.174022092961204,0.9071988900154757,5.0,22.0,17.0
Woburn,69.1,3.075521129969245,135.0,43895,47.0,67.4,79.9,0.2733796559972662,0.41006948399589926,0.47841439799521585,12.0,18.0,21.0
Worcester,90.5,1.538199407438259,325.0,211286,67.8,85.9,91.1,0.1277888738487169,0.21298145641452818,0.26031066895108995,27.0,45.0,55.0
Wrentham,36.2,6.311920741450943,79.0,12516,90.6,14.5,45.7,0.0,1.6778523489932886,1.278363694471077,0.0,21.0,16.0
Yarmouth,16.1,10.790225325293559,272.0,25208,18.1,12.5,23.7,0.6743890828308474,1.8248175182481752,1.9438273563947954,17.0,46.0,49.0
